week, name, version, count, created, downloads
2019/02, kramdown-math-sskatex, 1.0.0, 1, 2019-01-12, 4955
2019/02, kramdown-syntax-coderay, 1.0.0, 1, 2019-01-12, 1405
2019/02, kramdown-converter-pdf, 1.0.1, 1, 2019-01-11, 15050
2019/02, kramdown-parser-gfm, 1.0.0, 1, 2019-01-11, 1393
2018/01, hexapdf, 0.9.0, 9, 2018-12-31, 11632
2018/51, cmdparse, 3.0.4, 18, 2018-12-22, 198497
2018/50, geom2d, 0.2.0, 2, 2018-12-16, 86175
2018/43, hexapdf, 0.8.0, 8, 2018-10-26, 26973
2018/43, webgen, 1.5.2, 47, 2018-10-26, 2037
2018/25, hexapdf, 0.7.0, 7, 2018-06-19, 25803
2018/22, kramdown, 1.17.0, 53, 2018-05-31, 14925338
2018/18, webgen, 1.5.1, 46, 2018-05-06, 1669
2018/18, webgen, 1.5.0, 45, 2018-05-06, 1378
2018/13, geom2d, 0.1.0, 1, 2018-03-28, 26544
2017/48, kramdown, 1.16.2, 52, 2017-11-29, 4174474
2017/48, kramdown, 1.16.1, 51, 2017-11-28, 30243
2017/48, kramdown, 1.16.0, 50, 2017-11-27, 10059
2017/43, hexapdf, 0.6.0, 6, 2017-10-27, 1132017
2017/36, kramdown, 1.15.0, 49, 2017-09-08, 1410906
2017/34, webgen, 1.4.1, 44, 2017-08-26, 2262
2017/26, kramdown, 1.14.0, 48, 2017-06-26, 1990384
2017/25, hexapdf, 0.5.0, 5, 2017-06-24, 73718
2017/11, hexapdf, 0.4.0, 4, 2017-03-19, 6122
2017/04, hexapdf, 0.3.0, 3, 2017-01-25, 2407
2017/02, cmdparse, 3.0.3, 17, 2017-01-13, 273782
2017/01, kramdown, 1.13.2, 47, 2017-01-07, 3911045
2016/52, cmdparse, 3.0.2, 16, 2016-12-28, 4216
2016/48, hexapdf, 0.2.0, 2, 2016-11-28, 2629
2016/47, kramdown, 1.13.1, 46, 2016-11-25, 530659
2016/46, kramdown, 1.13.0, 45, 2016-11-20, 159054
2016/43, hexapdf, 0.1.0, 1, 2016-10-26, 13208
2016/33, kramdown, 1.12.0, 44, 2016-08-15, 832471
2016/17, kramdown, 1.11.1, 43, 2016-05-01, 1259893
2016/17, kramdown, 1.11.0, 42, 2016-05-01, 6257
2016/09, kramdown, 1.10.0, 41, 2016-03-02, 771198
2015/40, kramdown, 1.9.0, 40, 2015-10-01, 1650880
2015/27, kramdown, 1.8.0, 39, 2015-07-04, 714144
2015/18, kramdown, 1.7.0, 38, 2015-04-27, 826032
2015/11, cmdparse, 3.0.1, 15, 2015-03-14, 600696
2015/11, webgen, 1.4.0, 43, 2015-03-14, 3521
