week, name, version, count, created, downloads
2020/53, pws-otp, 0.9.1, 2, 2020-12-30, 1281
2020/53, sig, 1.0.2, 3, 2020-12-30, 1312
2020/53, symbolify, 1.4.0, 6, 2020-12-30, 1475
2020/53, uke, 1.0.3, 4, 2020-12-30, 1289
2020/53, unibits, 2.9.0, 16, 2020-12-30, 1130
2020/53, unicode-age, 2.2.0, 8, 2020-12-30, 1137
2020/53, unicode-display_width, 2.0.0, 31, 2020-12-30, 19876240
2020/53, unicode-version, 1.1.0, 2, 2020-12-30, 450133
2020/53, uniscribe, 1.6.0, 8, 2020-12-30, 1179
2020/53, website, 1.0.1, 2, 2020-12-30, 1295
2020/53, code, 0.9.3, 4, 2020-12-29, 31558
2020/53, debugging, 1.1.2, 6, 2020-12-29, 31173
2020/53, object_shadow, 1.1.1, 3, 2020-12-29, 31014
2020/53, wirb, 2.2.2, 24, 2020-12-29, 93792
2020/52, every_day_irb, 2.1.1, 27, 2020-12-25, 31560
2020/52, irbtools, 3.0.4, 53, 2020-12-24, 7429
2020/52, irbtools-more, 2.4.1, 21, 2020-12-24, 7762
2020/52, unicode-emoji, 2.7.1, 19, 2020-12-24, 159884
2020/52, unicode-sequence_name, 1.9.0, 13, 2020-12-24, 1288
2020/52, irbtools, 3.0.3, 52, 2020-12-22, 1141
2020/50, paint, 2.2.1, 19, 2020-12-09, 3742177
2020/44, unicode-emoji, 2.7.0, 18, 2020-10-28, 16110
2020/39, microgem, 1.0.23, 24, 2020-09-21, 1196
2020/39, unicode-emoji, 2.6.0, 17, 2020-09-21, 20814
2020/39, unicode-sequence_name, 1.8.0, 12, 2020-09-21, 1217
2020/36, clipboard, 1.3.5, 35, 2020-09-05, 1856939
2020/18, palava_machine, 1.0.2, 3, 2020-04-29, 1540
2020/17, unicode-emoji, 2.5.0, 16, 2020-04-23, 275330
2020/15, microgem, 1.0.22, 23, 2020-04-11, 1388
2020/11, unicode-blocks, 1.6.0, 9, 2020-03-11, 9716
2020/11, unicode-categories, 1.6.0, 11, 2020-03-11, 9379
2020/11, unicode-confusable, 1.7.0, 11, 2020-03-11, 34458
2020/11, unicode-display_width, 2.0.0.pre2, 30, 2020-03-11, 1470
2020/11, unicode-display_width, 1.7.0, 27, 2020-03-11, 94019532
2020/11, unicode-name, 1.9.0, 15, 2020-03-11, 4029
2020/11, unicode-numeric_value, 1.7.0, 10, 2020-03-11, 1551
2020/11, unicode-scripts, 1.6.0, 8, 2020-03-11, 45735
2020/11, unicode-sequence_name, 1.7.0, 11, 2020-03-11, 2140
2020/11, unicode-types, 1.6.0, 12, 2020-03-11, 33198
2020/11, unicode-x, 13.0.1, 14, 2020-03-11, 1548
2020/11, unicode-x, 13.0.0, 13, 2020-03-11, 1196
2020/08, clipboard, 1.3.4, 34, 2020-02-23, 1113666
2020/08, paint, 2.2.0, 18, 2020-02-21, 2139375
2020/05, microgem, 1.0.21, 22, 2020-02-02, 1410
2020/05, rationalist, 2.0.1, 2, 2020-02-02, 74561
2020/05, unicode-sequence_name, 1.6.0, 10, 2020-02-02, 1371
2020/05, unicode-version, 1.0.0, 1, 2020-02-02, 290587
2020/05, uniscribe, 1.5.1, 7, 2020-02-02, 1569
2020/05, uniscribe, 1.5.0, 6, 2020-02-02, 1232
2020/05, unicode-emoji, 2.4.0, 15, 2020-02-01, 319877
2020/03, relaxed-rubocop, 2.5, 4, 2020-01-18, 2576645
2020/03, unicode-display_width, 2.0.0.pre1, 29, 2020-01-16, 1359
2020/03, unicode-display_width, 1.6.1, 26, 2020-01-16, 25333818
2020/01, ruby_engine, 2.0.0, 3, 2020-01-04, 7432
2020/01, ruby_version, 1.0.2, 3, 2020-01-04, 518414
2019/52, microgem, 1.0.20, 21, 2019-12-29, 1399
2019/52, core_docs, 0.9.5, 6, 2019-12-27, 22730
2019/52, irbtools, 3.0.2, 51, 2019-12-27, 45245
2019/52, irbtools-more, 2.4.0, 20, 2019-12-27, 23972
2019/52, wirb, 2.2.1, 23, 2019-12-26, 91733
2019/49, wirb, 2.2.0, 22, 2019-12-04, 8766
2019/49, fancy_irb, 1.2.1, 19, 2019-12-02, 62238
2019/49, irbtools, 3.0.1, 50, 2019-12-02, 4838
2019/43, unicode-emoji, 2.3.1, 14, 2019-10-22, 137236
2019/43, unicode-emoji, 2.3.0, 13, 2019-10-22, 1377
2019/43, unicode-sequence_name, 1.5.0, 9, 2019-10-22, 1602
2019/43, uniscribe, 1.4.0, 5, 2019-10-22, 1543
2019/40, unicode-emoji, 2.2.0, 12, 2019-10-06, 8461
2019/35, fancy_irb, 1.2.0, 18, 2019-08-29, 6786
2019/35, paint, 2.1.1, 17, 2019-08-28, 587521
2019/28, relaxed-rubocop, 2.4, 3, 2019-07-09, 62052
2019/19, unicode-blocks, 1.5.0, 8, 2019-05-08, 5827
2019/19, unicode-categories, 1.5.0, 10, 2019-05-08, 2628
2019/19, unicode-confusable, 1.6.0, 10, 2019-05-08, 39482
2019/19, unicode-display_width, 1.6.0, 25, 2019-05-08, 40060603
2019/19, unicode-name, 1.8.0, 14, 2019-05-08, 2214
2019/19, unicode-numeric_value, 1.6.0, 9, 2019-05-08, 2001
2019/19, unicode-scripts, 1.5.0, 7, 2019-05-08, 35931
2019/19, unicode-sequence_name, 1.4.0, 8, 2019-05-08, 1919
2019/19, unicode-types, 1.5.0, 11, 2019-05-08, 2265
2019/19, unicode-x, 12.1.0, 12, 2019-05-08, 2007
2019/16, unicode-age, 2.1.0, 7, 2019-04-17, 2149
2019/15, irbtools, 3.0.0, 49, 2019-04-10, 11503
2019/15, irbtools-more, 2.3.1, 19, 2019-04-10, 32105
2019/15, object_shadow, 1.1.0, 2, 2019-04-10, 66160
2019/15, object_shadow, 1.0.0, 1, 2019-04-08, 2040
2019/14, every_day_irb, 2.1.0, 26, 2019-04-02, 90408
2019/14, microgem, 1.0.19, 20, 2019-04-02, 1326
2019/14, microgem, 1.0.18, 19, 2019-04-02, 1231
2019/14, irbtools, 2.2.2, 48, 2019-04-01, 30676
2019/14, irbtools-more, 2.3.0, 18, 2019-04-01, 1312
2019/12, microgem, 1.0.17, 18, 2019-03-19, 1271
2019/11, microgem, 1.0.16, 17, 2019-03-13, 1262
2019/11, unicode-emoji, 2.1.0, 11, 2019-03-11, 872232
2019/10, unicode-x, 12.0.0, 11, 2019-03-06, 1245
2019/10, unicode-x, 11.0.0, 10, 2019-03-06, 1153
2019/10, az, 2.0.1, 3, 2019-03-05, 1598
2019/10, az, 2.0.0, 2, 2019-03-05, 1403
2019/10, az, 1.0.1, 1, 2019-03-05, 1413
2019/10, characteristics, 1.2.0, 13, 2019-03-05, 1866
2019/10, unibits, 2.8.0, 15, 2019-03-05, 1385
2019/10, unicode-blocks, 1.4.0, 7, 2019-03-05, 1327
2019/10, unicode-categories, 1.4.0, 9, 2019-03-05, 1357
2019/10, unicode-confusable, 1.5.0, 9, 2019-03-05, 2105
2019/10, unicode-display_width, 1.5.0, 24, 2019-03-05, 10350126
2019/10, unicode-name, 1.7.1, 13, 2019-03-05, 1300
2019/10, unicode-name, 1.7.0, 12, 2019-03-05, 1155
2019/10, unicode-numeric_value, 1.5.0, 8, 2019-03-05, 1250
2019/10, unicode-scripts, 1.4.0, 6, 2019-03-05, 1272
2019/10, unicode-sequence_name, 1.3.0, 7, 2019-03-05, 1307
2019/10, unicode-types, 1.4.0, 10, 2019-03-05, 1332
2019/10, uniscribe, 1.3.0, 4, 2019-03-05, 1378
2019/08, unicode-x, 1.4.1, 9, 2019-02-21, 1218
2019/08, unicode-emoji, 2.0.0, 10, 2019-02-19, 52080
2019/05, microgem, 1.0.15, 16, 2019-01-31, 1301
2019/05, pws, 1.0.8, 18, 2019-01-28, 1943
2019/03, paint, 2.1.0, 16, 2019-01-17, 539307
2019/02, clipboard, 1.3.3, 33, 2019-01-10, 772381
2018/52, core_docs, 0.9.4, 5, 2018-12-30, 32903
2018/52, unicode-age, 2.0.1, 6, 2018-12-30, 1264
2018/52, microgem, 1.0.14, 15, 2018-12-26, 1363
2018/51, unicode-display_width, 1.4.1, 23, 2018-12-21, 15778546
2018/50, paint, 2.0.3, 15, 2018-12-16, 472835
2018/50, paint, 2.0.2, 14, 2018-12-16, 1227
2018/50, clipboard, 1.3.2, 32, 2018-12-14, 25368
2018/50, clipboard, 1.3.1, 31, 2018-12-11, 7428
2018/50, clipboard, 1.3.0, 30, 2018-12-11, 1495
2018/50, clipboard, 1.2.1, 29, 2018-12-10, 2461
2018/50, rusty_clipboard, 0.1.0, 1, 2018-12-10, 1847
2018/49, clipboard, 1.2.0, 28, 2018-12-09, 1449
2018/47, uke, 1.0.2, 3, 2018-11-25, 1407
2018/41, uke, 1.0.1, 2, 2018-10-09, 1278
2018/38, watchbuffy, 1.0.2, 3, 2018-09-20, 1421
2018/38, watchbuffy, 1.0.1, 2, 2018-09-19, 1241
2018/38, watchbuffy, 1.0.0, 1, 2018-09-19, 1193
2018/34, redux, 0.1.1, 2, 2018-08-20, 15370
2018/23, characteristics, 1.1.0, 12, 2018-06-05, 1725
2018/23, unibits, 2.7.0, 14, 2018-06-05, 1390
2018/23, unicode-categories, 1.3.0, 8, 2018-06-05, 1686
2018/23, unicode-confusable, 1.4.0, 8, 2018-06-05, 5102
2018/23, unicode-display_width, 1.4.0, 22, 2018-06-05, 21102960
2018/23, unicode-emoji, 1.1.0, 9, 2018-06-05, 177142
2018/23, unicode-name, 1.6.0, 11, 2018-06-05, 1495
2018/23, unicode-numeric_value, 1.4.0, 7, 2018-06-05, 1361
2018/23, unicode-scripts, 1.3.0, 5, 2018-06-05, 4954
2018/23, unicode-sequence_name, 1.2.0, 6, 2018-06-05, 1483
2018/23, unicode-types, 1.3.0, 9, 2018-06-05, 1572
2018/23, uniscribe, 1.2.0, 3, 2018-06-05, 1446
2018/22, unicode-blocks, 1.3.0, 6, 2018-06-01, 2002
2018/22, unicode-display_width, 1.3.3, 21, 2018-05-28, 951555
2018/21, clipboard, 1.1.2, 27, 2018-05-27, 321954
2018/19, irbtools, 2.2.1, 47, 2018-05-12, 18221
2018/19, relaxed-rubocop, 2.3.1, 2, 2018-05-11, 6834
2018/19, relaxed-rubocop, 2.3, 1, 2018-05-11, 1251
2018/16, unicode-blocks, 1.2.2, 5, 2018-04-19, 1330
2018/16, unicode-blocks, 1.2.1, 4, 2018-04-19, 1242
2018/16, unicode-categories, 1.2.2, 7, 2018-04-19, 1355
