name, version, version_created, version_downloads, homepage, dependencies
rusty_clipboard, 0.1.0, 2018-12-10, 1847, https://github.com/janlelis/rusty_clipboard, helix_runtime
paint-shortcuts, 2.0.0, 2016-12-23, 34533, https://github.com/janlelis/paint, paint
unicoder, 0.1.0, 2016-04-13, 5005, https://github.com/janlelis/unicoder, rationalist
J-_-L, 1.1.0, 2016-02-27, 2538, https://rubygems.org/gems/J-_-L, added | addressable | boolean2 | coercible | dotenv | equalizer | exists | instance | microevent | micrologger | micromachine | multi_block | named_proc | null_question | os | paint | rationalist | ruby_engine | ruby_version | sig | sugar_refinery | value_struct | virtus
zucker, 100.2.0, 2016-01-03, 3372, http://github.com/janlelis/sugar_refinery, refine
cd, 1.0.1, 2015-04-22, 207369, https://github.com/janlelis/cd, 
lotus-postgres, 0.1.0, 2015-03-15, 2830, https://github.com/janlelis/lotus-postgres, lotus-model
nomore, 0.1.0, 2014-09-11, 2992, https://github.com/janlelis/nomore, 
derb, 0.3.0, 2014-09-01, 3227, https://github.com/janlelis/derb, 
yyid, 4, 2014-07-16, 3301, https://github.com/janlelis/yyid, 
Deutsch, 1.0.0, 2014-02-16, 3544, https://github.com/janlelis/Deutsch.rb, 
procstar, 1.0.0, 2014-02-16, 3107, https://github.com/janlelis/procstar, 
ruby_info, 1.0.1, 2014-01-15, 223831, https://github.com/janlelis/ruby_info, 
rg, 0.1.2, 2013-12-08, 3464, https://github.com/janlelis/rg, coffee-rails | rails | rake | sprockets-bower
ripltools, 0.7.0, 2013-04-30, 5611, http://github.com/janlelis/ripltools, gem-man | hirb | ripl | ripl-after_rc | ripl-auto_indent | ripl-color_error | ripl-color_result | ripl-color_streams | ripl-commands | ripl-i18n | ripl-multi_line | ripl-play | ripl-profiles | ripl-short_errors
ripl-multi_line, 0.3.1, 2013-04-23, 684392, http://github.com/janlelis/ripl-multi_line, ripl
securerandom-array, 0.9.0, 2013-01-30, 4671, https://coderwall.com/p/oijyja, 
forty_two, 42, 2013-01-23, 3838, , 
slim_migrations, 3.2.1, 2012-01-29, 3845, https://github.com/janlelis/slim_migrations, rails
ripl-auto_indent, 0.2.0, 2012-01-12, 14468, http://github.com/janlelis/ripl-auto_indent, ripl | ripl-multi_line | ruby_indentation
ruby_indentation, 0.2.0, 2012-01-12, 14514, https://gist.github.com/1603460, coderay
rubybuntu-gedit, 12.01.05, 2012-01-04, 5418, https://github.com/janlelis/rubybuntu-gedit, paint
psycho, 0.0.0, 2011-11-11, 4076, , 
ripl-color_result, 0.4.1, 2011-07-17, 45908, http://github.com/janlelis/ripl-color_result, ripl | wirb
harvester, 0.8.0.pre.3, 2011-06-10, 2231, https://github.com/janlelis/harvester, clockwork | em-http-request | eventmachine | gruff | logger-colors | nokogiri | rdbi | rdbi-driver-sqlite3 | rmagick | ruby-xslt
fresh, 0.2.1, 2011-05-20, 5404, http://github.com/janlelis/fresh, ripl-fresh
ripl-fresh, 0.2.1, 2011-05-20, 4214, http://github.com/janlelis/fresh, ripl | ripl-multi_line
rvm_loader, 1.0.0, 2011-05-18, 11859, http://blog.thefrontiergroup.com.au/2010/12/a-brief-introduction-to-the-rvm-ruby-api/, 
logger-colors, 1.0.0, 2011-05-09, 936281, https://gist.github.com/962344, 
ripl-profiles, 0.2.1, 2011-05-07, 7060, http://github.com/janlelis/ripl-profiles, ripl
blip, 1.1.0, 2011-02-11, 5081, https://gist.github.com/781835, clipboard
has_many_booleans, 0.9.4, 2011-02-06, 4395, http://github.com/janlelis/has_many_booleans, 
ripl-rocket, 0.1.1, 2011-01-14, 4419, http://github.com/janlelis/ripl-rocket, ripl | unicode-display_width
ripl-color_streams, 0.1.2, 2010-12-16, 157353, http://github.com/janlelis/ripl-color_streams, ripl
ripl-short_errors, 0.1.0, 2010-12-16, 163452, https://github.com/janlelis/ripl-misc/blob/master/lib/ripl/short_errors.rb, ripl
requirements, 1.0.0, 2010-10-01, 4918, http://github.com/janlelis/requirements, 
