name, version, created, downloads
ahoy_email, 2.1.3, 2022-06-12, 59699
ahoy_email, 2.1.2, 2022-02-10, 32221
ahoy_email, 2.1.1, 2021-12-14, 14929
ahoy_email, 2.1.0, 2021-09-25, 16746
ahoy_email, 2.0.3, 2021-03-31, 94099
ahoy_email, 2.0.2, 2021-03-15, 9190
ahoy_email, 2.0.1, 2021-03-08, 2298
ahoy_email, 2.0.0, 2021-03-06, 1672
ahoy_email, 1.1.1, 2021-03-06, 124612
ahoy_email, 1.1.0, 2019-07-16, 908209
ahoy_email, 1.0.3, 2019-02-19, 268759
ahoy_email, 1.0.2, 2018-10-02, 40476
ahoy_email, 1.0.1, 2018-09-27, 4555
ahoy_email, 1.0.0, 2018-09-27, 2164
ahoy_email, 0.5.2, 2018-04-26, 226151
ahoy_email, 0.5.1, 2018-04-20, 13953
ahoy_email, 0.5.0, 2017-05-01, 169974
ahoy_email, 0.4.0, 2016-09-01, 133901
ahoy_email, 0.3.2, 2016-07-28, 30828
ahoy_email, 0.3.1, 2016-05-12, 14575
ahoy_email, 0.3.0, 2015-12-17, 24984
ahoy_email, 0.2.4, 2015-07-30, 37022
ahoy_email, 0.2.3, 2015-03-23, 23931
ahoy_email, 0.2.2, 2014-08-31, 7266
ahoy_email, 0.2.1, 2014-05-27, 3714
ahoy_email, 0.2.0, 2014-05-11, 5984
ahoy_email, 0.1.5, 2014-05-09, 3251
ahoy_email, 0.1.4, 2014-05-05, 3389
ahoy_email, 0.1.3, 2014-05-03, 3264
ahoy_email, 0.1.2, 2014-05-02, 3323
ahoy_email, 0.1.1, 2014-04-30, 3367
ahoy_email, 0.1.0, 2014-04-30, 3340
ahoy_email, 0.0.2, 2014-04-29, 3268
ahoy_email, 0.0.1, 2014-04-28, 3180
